学会タイトル,発表タイトル,発表者,発表者の所属
日本応用数理学会2025年度年会,平行円板間の層流に対する精度保証付き数値計算,渡部 善隆,九州大学
日本応用数理学会2025年度年会,平行円板間の層流に対する精度保証付き数値計算,Cai Shuting,Fujian Jiangxia University
日本応用数理学会2025年度年会,◎Gray-Scott方程式のDirichlet境界値問題における逆作用素ノルムの評価法,山口 滉介,千葉工業大学
日本応用数理学会2025年度年会,◎Gray-Scott方程式のDirichlet境界値問題における逆作用素ノルムの評価法,関根 晃太,千葉工業大学
日本応用数理学会2025年度年会,◎Gray-Scott方程式のDirichlet境界値問題における逆作用素ノルムの評価法,水口 信,中央大学
日本応用数理学会2025年度年会,◎3変数のフィッツヒュー・南雲方程式の解に特化した精度保証付き数値計算法,浅野 凌一郎,千葉工業大学
日本応用数理学会2025年度年会,◎3変数のフィッツヒュー・南雲方程式の解に特化した精度保証付き数値計算法,関根 晃太,千葉工業大学
日本応用数理学会2025年度年会,◎教師あり学習による精度保証付き数値積分のパラメータ選定の試み,石神 匠吾,千葉工業大学
日本応用数理学会2025年度年会,◎教師あり学習による精度保証付き数値積分のパラメータ選定の試み,関根 晃太,千葉工業大学
日本応用数理学会2025年度年会,非自励半群アプローチによる半線形放物型PDEの解の長時間存在証明,高安 亮紀,筑波大学
日本応用数理学会2025年度年会,◎Hadamard微分の厳密計算による固有値の単純性の解析,遠藤 凌輝,新潟大学
日本応用数理学会2025年度年会,◎Hadamard微分の厳密計算による固有値の単純性の解析,劉 雪峰,東京女子大学
日本応用数理学会2025年度年会,行列積に対するGEMM-basedな試行型エミュレーションについて,尾崎 克久,芝浦工業大学
日本応用数理学会2025年度年会,行列積に対するGEMM-basedな試行型エミュレーションについて,内野 佑基,理化学研究所
日本応用数理学会2025年度年会,行列積に対するGEMM-basedな試行型エミュレーションについて,今村 俊幸,理化学研究所
日本応用数理学会2025年度年会,◎An orthogonal randomized Bregman projection method for linearly constrained optimization problems,葉 雨欣,"名古屋大学, 同済大学"
日本応用数理学会2025年度年会,◎An orthogonal randomized Bregman projection method for linearly constrained optimization problems,張 紹良,名古屋大学
日本応用数理学会2025年度年会,◎An orthogonal randomized Bregman projection method for linearly constrained optimization problems,王 泽,"名古屋大学, 同済大学"
日本応用数理学会2025年度年会,◎An orthogonal randomized Bregman projection method for linearly constrained optimization problems,繆 樹鑫,西北師範大学
日本応用数理学会2025年度年会,◎An orthogonal randomized Bregman projection method for linearly constrained optimization problems,殷 俊鋒,同済大学
日本応用数理学会2025年度年会,Design and analysis of a predefined-time zeroing neural network model for solving the Stein tensor equation,Miao Shu-Xin,"西北師範大学, 名古屋大学"
日本応用数理学会2025年度年会,Design and analysis of a predefined-time zeroing neural network model for solving the Stein tensor equation,曽我部 知広,名古屋大学
日本応用数理学会2025年度年会,Design and analysis of a predefined-time zeroing neural network model for solving the Stein tensor equation,張 紹良,名古屋大学
日本応用数理学会2025年度年会,◎Extended sparse Kaczmarz method with surrogate hyperplane for sparse solutions to inconsistent linear systems,Wang Ze,"名古屋大学, 同済大学"
日本応用数理学会2025年度年会,◎Extended sparse Kaczmarz method with surrogate hyperplane for sparse solutions to inconsistent linear systems,Ye Yuxin,"名古屋大学, 同済大学"
日本応用数理学会2025年度年会,◎Extended sparse Kaczmarz method with surrogate hyperplane for sparse solutions to inconsistent linear systems,Yin Junfeng,同済大学
日本応用数理学会2025年度年会,◎Extended sparse Kaczmarz method with surrogate hyperplane for sparse solutions to inconsistent linear systems,張 紹良,名古屋大学
日本応用数理学会2025年度年会,任意インデックスの正方行列の特異系とランク落ち長方行列の最小二乗問題に対するNR-SSOR右前処理RRGMRES法,杉原 光太,所属無し
日本応用数理学会2025年度年会,任意インデックスの正方行列の特異系とランク落ち長方行列の最小二乗問題に対するNR-SSOR右前処理RRGMRES法,速水 謙,"国立情報学研究所, 総合研究大学院大学"
日本応用数理学会2025年度年会,◎MINRES法に基づくシフト線形方程式および一般化シフト線形方程式解法の性能評価,日高 俊太郎,電気通信大学
日本応用数理学会2025年度年会,◎MINRES法に基づくシフト線形方程式および一般化シフト線形方程式解法の性能評価,工藤 周平,電気通信大学
日本応用数理学会2025年度年会,◎MINRES法に基づくシフト線形方程式および一般化シフト線形方程式解法の性能評価,山本 有作,電気通信大学
日本応用数理学会2025年度年会,◎特異値と片側の特異ベクトルを利用した最小二乗法による特異ベクトル計算について,千代延 未帆,滋賀大学
日本応用数理学会2025年度年会,◎特異値と片側の特異ベクトルを利用した最小二乗法による特異ベクトル計算について,髙田 雅美,奈良女子大学
日本応用数理学会2025年度年会,◎特異値と片側の特異ベクトルを利用した最小二乗法による特異ベクトル計算について,木村 欣司,福井大学
日本応用数理学会2025年度年会,◎特異値と片側の特異ベクトルを利用した最小二乗法による特異ベクトル計算について,中村 佳正,大阪成蹊大学
日本応用数理学会2025年度年会,前進誤差に焦点を当てた固有値分解の反復改良法,寺尾 剛史,九州大学
日本応用数理学会2025年度年会,前進誤差に焦点を当てた固有値分解の反復改良法,尾崎 克久,芝浦工業大学
日本応用数理学会2025年度年会,◎シングルセル遺伝子発現データに対するクラスタリングのための差分進化に基づく特徴選択法,市原 数馬,筑波大学
日本応用数理学会2025年度年会,◎シングルセル遺伝子発現データに対するクラスタリングのための差分進化に基づく特徴選択法,今倉 暁,筑波大学
