id,title,author_name,conference_name,organization_name
1,確率加重関数は更新されるのか ―ベイズ統計モデリングによる経験的意思決定モデルの検証―,星野 匠映,日本認知科学会第42回大会,関西学院大学社会学研究科
2,確率加重関数は更新されるのか ―ベイズ統計モデリングによる経験的意思決定モデルの検証―,清水 裕士,日本認知科学会第42回大会,関西学院大学社会学部
3,AIと集合知による推定精度の強化: 医師による患者の余命推定を通じた検証,本田 秀仁,日本認知科学会第42回大会,追手門学院大学
4,AIと集合知による推定精度の強化: 医師による患者の余命推定を通じた検証,浜野 淳,日本認知科学会第42回大会,筑波大学
5,AIと集合知による推定精度の強化: 医師による患者の余命推定を通じた検証,香川 璃奈,日本認知科学会第42回大会,産業技術総合研究所
6,耳介上部をつまむとブッダの耳錯覚の効果が強化される,小鷹 研理,日本認知科学会第42回大会,名古屋市立大学芸術工学研究科
7,道徳的ジレンマ状況を功利主義的評価に偏らせる大規模言語モデルによる人型ロボットとの対話,金野 武司,日本認知科学会第42回大会,金沢工業大学
8,道徳的ジレンマ状況を功利主義的評価に偏らせる大規模言語モデルによる人型ロボットとの対話,石田 直暉,日本認知科学会第42回大会,金沢工業大学
9,道徳的ジレンマ状況を功利主義的評価に偏らせる大規模言語モデルによる人型ロボットとの対話,佐藤 綾南,日本認知科学会第42回大会,金沢工業大学
10,道徳的ジレンマ状況を功利主義的評価に偏らせる大規模言語モデルによる人型ロボットとの対話,長滝 祥司,日本認知科学会第42回大会,中京大学
11,道徳的ジレンマ状況を功利主義的評価に偏らせる大規模言語モデルによる人型ロボットとの対話,柏端 達也,日本認知科学会第42回大会,慶應大学
12,道徳的ジレンマ状況を功利主義的評価に偏らせる大規模言語モデルによる人型ロボットとの対話,大平 英樹,日本認知科学会第42回大会,名古屋大学
13,道徳的ジレンマ状況を功利主義的評価に偏らせる大規模言語モデルによる人型ロボットとの対話,橋本 敬,日本認知科学会第42回大会,北陸先端大学
14,道徳的ジレンマ状況を功利主義的評価に偏らせる大規模言語モデルによる人型ロボットとの対話,柴田 正良,日本認知科学会第42回大会,金沢大学
15,道徳的ジレンマ状況を功利主義的評価に偏らせる大規模言語モデルによる人型ロボットとの対話,三浦 俊彦,日本認知科学会第42回大会,東京大学
16,道徳的ジレンマ状況を功利主義的評価に偏らせる大規模言語モデルによる人型ロボットとの対話,加藤 樹里,日本認知科学会第42回大会,金沢工業大学
17,観点の相違度が製品の創造性評価に与える影響,服部 エリーン 彩矢,日本認知科学会第42回大会,慶應義塾大学
18,観点の相違度が製品の創造性評価に与える影響,二宮 由樹,日本認知科学会第42回大会,名古屋大学
19,観点の相違度が製品の創造性評価に与える影響,松本 一樹,日本認知科学会第42回大会,獨協大学
20,観点の相違度が製品の創造性評価に与える影響,三輪 和久,日本認知科学会第42回大会,名古屋大学
21,自閉スペクトラム症者のオノマトペによる特異的な触感表現,中野 珠実,日本認知科学会第42回大会,大阪大学大学院情報科学研究科
